순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
254,005850,에스엘,"9,200","-500","-5.2","144,556","1,329,864,370","9,300","9,340","9,090","443,470,148,400","0.04","48,203,277",,,
255,019170,신풍제약,"8,340","460","5.8","29,900,733","260,177,873,200","8,480","9,280","8,160","441,894,816,600","0.04","52,984,990",,,
256,268600,셀리버리,"56,300","1,900","3.5","1,545,868","86,380,640,800","53,600","60,200","51,100","440,272,024,100","0.04","7,820,107",,,
257,053800,안랩,"43,500","-1,600","-3.6","217,337","9,525,691,050","41,900","46,850","41,500","435,602,692,500","0.04","10,013,855",,,
258,001630,종근당홀딩스,"86,400","-4,100","-4.5","24,370","2,124,193,300","87,400","90,700","84,500","432,851,990,400","0.04","5,009,861",,,
259,003800,에이스침대,"39,000","700","1.8","11,421","413,843,750","37,500","39,050","33,100","432,510,000,000","0.04","11,090,000",,,
260,006650,대한유화,"66,200","-2,800","-4.1","51,051","3,315,677,600","63,300","67,900","62,600","430,300,000,000","0.04","6,500,000",,,
261,000640,동아쏘시오홀딩스,"70,000","-1,800","-2.5","23,839","1,652,800,200","67,500","70,900","66,700","429,680,790,000","0.04","6,138,297",,,
262,178320,서진시스템,"23,700","-1,400","-5.6","549,594","13,087,130,950","23,750","24,600","23,100","428,985,784,200","0.04","18,100,666",,,
263,020000,한섬,"17,000","-4,650","-21.5","159,146","2,775,151,250","18,600","18,600","17,000","418,710,000,000","0.04","24,630,000",,,
264,007390,네이처셀,"6,840","-380","-5.3","1,213,607","8,418,713,360","6,970","7,120","6,740","418,542,329,160","0.04","61,190,399",,,
265,215200,메가스터디교육,"35,400","-3,650","-9.4","121,840","4,428,960,000","38,650","38,650","34,850","418,494,552,000","0.04","11,821,880",,,
266,263050,유틸렉스,"55,800","-1,500","-2.6","421,883","24,717,123,800","55,600","63,800","54,800","414,296,809,200","0.04","7,424,674",,,
267,001060,JW중외제약,"19,650","-1,050","-5.1","265,385","5,266,537,150","19,000","20,550","18,950","411,079,061,100","0.04","20,920,054",,,
268,012630,HDC,"6,880","-470","-6.4","391,605","2,736,677,140","6,970","7,150","6,860","411,023,040,480","0.04","59,741,721",,,
269,083790,크리스탈,"9,840","2,270","30.0","3,258,230","29,721,475,390","7,540","9,840","7,540","409,770,701,760","0.04","41,643,364",,,
270,011160,두산건설,"1,240","0","0.0","0","0","0","0","0","409,072,416,400","0.04","329,897,110",,,
271,108320,실리콘웍스,"25,150","-3,250","-11.4","213,429","5,435,760,800","26,100","26,650","24,350","409,047,145,000","0.04","16,264,300",,,
272,183490,엔지켐생명과학,"51,800","3,900","8.1","803,612","42,672,097,900","49,500","59,400","48,600","407,368,771,600","0.03","7,864,262",,,
